НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
23676,23681,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-10-ЕЗ,8070
23676,23682,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-10-ЕЗ.СО,8070
23676,23683,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-10-ЗЕМ,8083А
23676,23684,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-10-ЗЕМ-СО,8083А
23676,23685,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-10-ОВ,8516
23676,23686,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-10-ОВ.С,8516
23676,23687,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-10-ТМ,8524
23676,23688,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-10-ТМ.С,8524
23676,23689,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-06-ЗВК,8069
23676,23690,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-06-ЗВК.СО,8069
23676,23691,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-06-ВК,8067
23676,23692,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Спецификация оборудования (в составе документации на автоматизированные системы),03-06-ВК-СО,8067
23676,23693,21.06.2012,УКС,,,"Исполнительная документация по объекту: ""Представительный центр миссии OSART (Представницький центр місії OSART)""",,Представительный центр,0,И,Чертеж,03-10-ВК,8513А
